,sentID,sent,words,countWords,countVerbs,repatingSeq,repatingNouns
277,mbh12_25996.xml,"i,m6p,m1s,pre[1] m3s,i,i,m1p,i,m1s,pre p3s,n7s","na,ezAm,ukzA,varDate,na,uta,vAhAH,na,gargaraH,maTyate,sampradAne",11,2,"{'i': [0, 4, 5, 7], 'm1s': [2, 8]}","{'nominative': [1, 2, 3]}"
278,mbh03_14625.xml,"i,i,pre[9] a3s,x2s,m1s,i","prati,aBi,jAnAti,mAm,BavAn,iti",6,1,"{'i': [0, 1, 5]}",{}
279,mbh12_25957.xml,"n1s,i,i,i,pre[1] a3s","nidarSanam,api,hi,atra,Bavati",5,1,"{'i': [1, 2, 3]}",{}
281,mbh12_25982.xml,"m6s,i,n1s,i,pre p3s,i,iic,m6d,m6d","brAhmaRasya,hi,yAjanam,vi,DIyate,na,kzatra,vESyayoH,dvijAtyoH",9,1,"{'i': [1, 3, 5], 'm6d': [7, 8]}","{'genitive': [0, 2, 3]}"
282,mbh12_26105.xml,"f1s,i,f1p,f1p,prf a3s","sA,evam,uktAH,hfzwAH,jagAma",5,1,"{'f1p': [2, 3]}","{'nominative': [0, 1, 2]}"
283,mbh03_14635.xml,"i,m1s,x2s,i,m2s,i,iic,i,n2s,n2s,ipf[1] a3s,i,m1s,m1s,n1s,m1s,prf a3s","tataH,indradyumnaH,mAm,ca,ulUkam,ca,A,dAya,tat,saraH,agacCat,yatra,asO,nAqIjaNGaH,nAma,bakaH,baBUva",17,2,"{'i': [0, 3, 5, 7, 11], 'n2s': [8, 9], 'm1s': [1, 12, 13, 15]}","{'accusative': [1, 2, 3], 'nominative': [0, 4, 5, 6, 7]}"
284,mbh12_26106.xml,"m1s,i,iic,m2s,i,i,prf a3s,i","indraH,api,bisa,granTim,eva,A,viveSa,BUyaH",8,1,"{'i': [1, 4, 5, 7]}",{}
285,mbh03_14544.xml,"n2s,i,n2s,iic,n2s,m1s,iic,i,iic,m1s,i,i,m2s,iic,i,iic,n2s,i,cau ipf a3s","tat,SrutvA,vacanam,a,priyam,vAmadevaH,kroDa,pari,ita,AtmA,svayam,eva,rAjAnam,aBi,gamya,aSva,ArTam,aBi,acodayat",19,1,"{'i': [1, 7, 10, 11, 14, 17], 'n2s': [0, 2, 4, 16], 'm1s': [5, 9], 'iic': [3, 6, 8, 13, 15]}","{'accusative': [0, 1, 2, 5, 6], 'nominative': [3, 4]}"
286,mbh12_26022.xml,"m1s,m1s,f6s,n1s,iic,iic,n1s,i,i,iic,i,m2s,aor[root] a3s","sa,rUpaviSvaH,mAtuH,vAkyam,an,ati,kramaRIyam,iti,matvA,sam,pUjya,hiraRyakaSipum,agAt",13,1,"{'i': [7, 8, 10], 'n1s': [3, 6], 'm1s': [0, 1], 'iic': [4, 5, 9]}","{'nominative': [0, 1, 3, 4]}"
287,mbh03_14664.xml,"iic,f1s,pre p3s,m6s,m7s,m6s,m6s,i","a,kIrtiH,kIrtyate,yasya,loke,BUtasya,kasya,cit",8,1,"{'m6s': [3, 5, 6]}","{'genitive': [1, 3, 4]}"
288,mbh03_14579.xml,"m3s,m1s,m1s,pop[2] m3s,iic,m1s,m3p,iic,m1s","yena,vidDaH,vAmadevaH,SayIta,sam,daSyamAnaH,SvaBiH,Arta,rUpaH",9,1,"{'m1s': [1, 2, 5, 8], 'iic': [4, 7]}","{'instrumental': [0, 4], 'nominative': [1, 2, 3, 5]}"
289,mbh12_26091.xml,"f1s,f2s,n2s,n2s,ipf[1] a3s","sA,enAm,mAnasam,saraH,anayat",5,1,"{'n2s': [2, 3]}","{'accusative': [1, 2, 3]}"
290,mbh12_26025.xml,"iic,iic,n5s,m1s,iic,m1s,m2s","tat,SApa,dAnAt,hiraRyakaSipuH,pra,AptavAn,vaDam",7,0,"{'m1s': [3, 5], 'iic': [0, 1, 4]}","{'nominative': [1, 2]}"
291,mbh12_13895.xml,"n1s,i,iic,n1s,n1s,pre p3s,n1s,n1s,i","tat,Kalu,dvi,viDam,suKam,ucyate,SArIram,mAnasam,ca",9,1,"{'i': [1, 8], 'n1s': [0, 3, 4, 6, 7]}","{'nominative': [0, 1, 2, 3, 4]}"
292,mbh12_26012.xml,"i,i,f1p,m3p,iic,f1p,iic,f1p","tadA,praBftyA,ApaH,yAdoBiH,sam,kIrRAH,sam,vfttAH",8,0,"{'i': [0, 1], 'f1p': [2, 5, 7], 'iic': [4, 6]}","{'nominative': [0, 2, 3]}"
294,mbh03_14541.xml,"n1s,i,m6p,m3p,n1s","kim,ca,brAhmaRAnAm,aSvEH,kAryam",5,0,"{'n1s': [0, 4]}","{'nominative': [0, 3]}"
295,mbh12_26054.xml,"n3s,n3s,iic,n3s,iic,iic,n3s,iic,iic,iic,n3s,iic,iic,n3s,m1s,n2s,prf a3s","tena,vajreRa,a,Bidyena,a,pra,DfzyeRa,brahma,asTi,sam,BUtena,vizRu,pra,vizwena,indraH,viSvarUpam,jaGAna",17,1,"{'n3s': [0, 1, 3, 6, 10, 13], 'iic': [2, 4, 5, 7, 8, 9, 11, 12]}","{'instrumental': [0, 1, 2, 3, 4, 5]}"
296,mbh12_26071.xml,"fvs,x1s,m1s,m6p,ipv[1] m2s,x2s,i","suBage,aham,indraH,devAnAm,Bajasva,mAm,iti",7,1,{},{}
297,mbh03_14619.xml,"pre[2] a3s,i,m7s,m1s,n1s,m1s","asti,Kalu,himavati,prAkArakarRaH,nAma,ulUkaH",6,1,"{'m1s': [3, 5]}","{'nominative': [1, 2, 3]}"
298,mbh03_14489.xml,"m1p,i,m1p,f3s,iic,iic,iic,m1p,i","bahavaH,hi,rAjAnaH,tayA,vi,pra,labDa,pUrvAH,iti",9,0,"{'i': [1, 8], 'm1p': [0, 2, 7], 'iic': [4, 5, 6]}","{'nominative': [0, 1, 3]}"
299,mbh12_26070.xml,"m1s,i,i,iic,n2s,aor[a] a3s,prf a3s,i,f2s","saH,evam,uktvA,SacI,samIpam,agamat,uvAca,ca,enAm",9,2,"{'i': [1, 2, 7]}","{'accusative': [1, 2]}"
300,mbh12_25962.xml,"n6s,i,iic,m6s,m6s,iic,m5s,m6s,i,m7s,m1s,m1s,f2p,m1p,m5d,m2d,prf a3s","tasya,idAnIm,tamaH,samBavasya,puruzasya,padma,yoneH,brahmaRaH,prAduH,BAve,sa,puruzaH,prajAH,sisfkzamARaH,netrAByAm,agnIzomO,sasarja",17,1,"{'i': [1, 8], 'm1s': [10, 11], 'm6s': [3, 4, 7], 'iic': [2, 5]}","{'accusative': [8, 11], 'genitive': [0, 1, 2, 4], 'ablative': [3, 10], 'nominative': [6, 7, 9]}"
301,mbh03_14431.xml,"f1s,pre[2] a1s,i","kanyA,asmi,iti",3,1,{},{}
302,mbh12_25965.xml,"m1s,m1s,n2s,n1s,n5s,n1s,iic,n1s","yaH,agniH,tat,kzatram,kzatrAt,brahma,balavat,taram",8,0,"{'n1s': [3, 5, 7], 'm1s': [0, 1]}","{'nominative': [0, 1, 3, 5, 6]}"
303,mbh12_13939.xml,"m1s,iic,m1s,i,i,n1s,m1s,i,pre[1] a3s","DarmaH,kati,viDaH,vA,api,tat,BavAn,vaktum,arhati",9,1,"{'i': [3, 4, 7], 'm1s': [0, 2, 6]}","{'nominative': [0, 1, 2, 3]}"
304,mbh12_25974.xml,"m6p,mvs,m6p,m1s,i","viSvezAm,agne,yajYAnAm,hotA,iti",5,0,"{'m6p': [0, 2]}","{'genitive': [0, 2]}"
305,mbh12_13918.xml,"i,pre[1] a3s,i","tatra,Bavati,Kalu",3,1,"{'i': [0, 2]}",{}
306,mbh03_14626.xml,"m1s,n2s,i,ipf[2] a3s,m2s","sa,muhUrtam,DyAtvA,abravIt,enam",5,1,{},"{'accusative': [1, 2]}"
307,mbh03_14518.xml,"iic,m1s,x3s,m1s,pre[1] m3s","Bagavat,mfgaH,mayA,vidDaH,palAyate",5,1,"{'m1s': [1, 3]}","{'nominative': [0, 1]}"
308,mbh03_14467.xml,"m1p,m1p,iic,m4s,iic,n2s,i,cau ipf a3p","te,BItAH,maRqUka,rAjYe,yaTA,vfttam,ni,avedayan",8,1,"{'m1p': [0, 1], 'iic': [2, 4]}","{'nominative': [0, 1]}"
309,mbh12_26040.xml,"m3s,iic,m7p,iic,m1s,m1s,pre p3s","viSvarUpeRa,sarva,yajYezu,su,hutaH,somaH,pIyate",7,1,"{'m1s': [4, 5], 'iic': [1, 3]}","{'nominative': [2, 3]}"
310,mbh03_14631.xml,"pre[2] a3s,i,iic,m1s,n1s","asti,Kalu,indradyumna,saraH,nAma",5,1,{},"{'nominative': [0, 1]}"
311,mbh12_13949.xml,"i,i,iic,iic,iic,iic,iic,m1s,iic,iic,m1s,f2d,f2d,iic,iic,n2p,iic,i,iic,i,iic,n2d,m6s,iic,iic,iic,iic,iic,iic,iic,m1s,i,iic,i,iic,iic,iic,iic,iic,f1s,m1s,iic,iic,iic,iic,iic,iic,m1s,iic,iic,iic,iic,iic,m1s,iic,iic,iic,iic,iic,m1s,pop[2] a3s","samyak,atra,SOca,saMskAra,vinaya,niyama,pra,RItaH,vi,nIta,AtmAH,uBe,sanDye,BAskara,agni,dEvatAni,upa,sTAya,vi,hAya,tandrA,Alasye,guroH,aBivAdana,veda,aByAsa,SravaRa,pavitrI,kfta,antara,AtmA,trizavaRam,upa,spfSya,brahmacarya,agni,pari,caraRa,guru,SuSrUzA,nityaH,BEkza,Adi,sarva,ni,vedita,Antara,AtmA,guru,vacana,nirdeSa,anuzWAna,a,pratikUlaH,guru,prasAda,labDa,svADyAya,tat,paraH,syAt",61,1,"{'i': [0, 1, 17, 19, 31, 33], 'm1s': [7, 10, 30, 40, 47, 53, 59], 'iic': [2, 3, 4, 5, 6, 8, 9, 13, 14, 16, 18, 20, 23, 24, 25, 26, 27, 28, 29, 32, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58], 'f2d': [11, 12]}","{'accusative': [2, 3, 4, 5], 'nominative': [0, 1, 7, 8, 9, 10, 11, 12]}"
312,mbh03_14611.xml,"pre[2] a3s,m1s,i,m6s,iic,iic,m1s,i","asti,kaH,cit,BavataH,cira,jAta,taraH,iti",8,1,"{'i': [2, 7], 'm1s': [1, 6], 'iic': [4, 5]}","{'nominative': [0, 2]}"
313,mbh12_26100.xml,"f2s,m1s,prf a3s","tAm,indraH,uvAca",3,1,{},{}
314,mbh03_14663.xml,"i,m1s,m1s,pre[1] a3s,i,m1s,pre p3s","yAvat,sa,SabdaH,Bavati,tAvat,puruzaH,ucyate",7,2,"{'i': [0, 4], 'm1s': [1, 2, 5]}","{'nominative': [0, 1, 2]}"
315,mbh03_14421.xml,"i,m1s,m1s,iic,n2s,m6s,n7s,iic,iic,iic,n7s,i,ipf[6] a3s","aTa,ASvastaH,sa,bisa,mfRAlam,aSvasya,agre,ni,kzipya,puzkariRI,tIre,samA,aviSat",13,1,"{'i': [0, 11], 'm1s': [1, 2], 'iic': [3, 7, 8, 9], 'n7s': [6, 10]}","{'nominative': [0, 1], 'locative': [4, 5]}"
316,mbh12_26170.xml,"m2s,ipf[2] a3s,m1s,i,x3s,x1s,iic,iic,iic,m1s,i,iic,m1s,i,i,n6p,m1s,n1s,fut a3s,i","tam,abravIt,BfguH,yasmAt,tvayA,aham,kanyA,varaRa,kfta,BAvaH,prati,A,KyAtaH,tasmAt,na,ratnAnAm,BavAn,BAjanam,Bavizyati,iti",20,2,"{'i': [3, 10, 13, 14, 19], 'm1s': [2, 9, 12, 16], 'iic': [6, 7, 8, 11]}","{'nominative': [1, 2, 3, 5, 6]}"
317,mbh12_13948.xml,"i,iic,iic,m2s,i,n2s,m2s,m2s,i,i,pre[1] a3p","tatra,guru,kula,vAsam,eva,tAvat,praTamam,ASramam,uda,A,haranti",11,1,"{'i': [0, 4, 8, 9], 'iic': [1, 2], 'm2s': [3, 6, 7]}","{'accusative': [0, 1, 2, 3]}"
318,mbh12_25967.xml,"m5p,i,n1s,i,iic,iic,n1s","brAhmaReByaH,param,BUtam,na,ut,panna,pUrvam",7,0,"{'i': [1, 3], 'n1s': [2, 6], 'iic': [4, 5]}","{'nominative': [1, 2]}"
320,mbh12_26113.xml,"m1s,ipv[1] a2s,n1s,f1s,m1p,i,pop[1] a3p,n1s,i","sarpaH,Bava,yAvat,BUmiH,girayaH,ca,tizWeyuH,tAvat,iti",9,2,"{'i': [5, 8], 'n1s': [2, 7]}","{'nominative': [0, 1, 2, 3, 4]}"
321,mbh03_14427.xml,"i,f1s,m6s,n7s,i,ipf[1] a3s","aTa,sA,rAjYaH,samIpe,pari,akrAmat",6,1,"{'i': [0, 4]}",{}
322,mbh03_14666.xml,"n5s,iic,m1s,pop[2] a3s,n4s,m1s,f7s","tasmAt,kalyARa,vfttaH,syAt,atyantAya,naraH,Buvi",7,1,"{'m1s': [2, 5]}","{'nominative': [1, 3]}"
324,mbh01_968.xml,"m2s,f1s,m2s,prf a3s","tam,mAtA,rorUyamARam,uvAca",4,1,"{'m2s': [0, 2]}","{'accusative': [0, 2]}"
325,mbh12_26027.xml,"m6s,iic,iic,m2s,m1s,f2p,f1p,f2p,i,prf a3s","tasya,vrata,BaNga,arTam,indraH,bahvIH,SrImatyaH,apsarasaH,ni,yuyoja",10,1,"{'f2p': [5, 7], 'iic': [1, 2]}","{'accusative': [1, 3, 5], 'nominative': [2, 4]}"
326,mbh12_26146.xml,"i,m1p,m2s,ipf[2] a3p,pre p2s,m3s","tatra,fzayaH,somam,abruvan,kzIyase,yakzmaRA",6,2,{},{}
327,mbh12_25970.xml,"iic,m1s,i,i,pre[1] a3s","mantra,vAdaH,api,hi,Bavati",5,1,"{'i': [2, 3]}",{}
328,mbh12_26000.xml,"i,i,iic,iic,iic,m1p,m1p,i,x3s,iic,m3s,i,i,i,iic,m1p,iic,iic,iic,m1p,iic,m1p,m1p,iic,m1p,i","itTam,ca,sura,Asura,vi,SizwAH,brAhmaRAH,yadA,mayA,brahma,BUtena,purA,svayam,eva,ut,pAditAH,sura,Asura,mahA,fzayaH,BUta,viSezAH,sTApitAH,ni,gfhItAH,ca",26,0,"{'i': [0, 1, 7, 11, 12, 13, 25], 'm1p': [5, 6, 15, 19, 21, 22, 24], 'iic': [2, 3, 4, 9, 14, 16, 17, 18, 20, 23]}","{'nominative': [0, 1, 3, 4, 5, 6, 7]}"
329,mbh12_25978.xml,"i,i,i,m5s,n1s,pre[2] a3s","na,hi,fte,mantrAt,havanam,asti",6,1,"{'i': [0, 1, 2]}",{}
332,mbh03_14432.xml,"f2s,m1s,prf a3s","tAm,rAjA,uvAca",3,1,{},{}
333,mbh03_14630.xml,"m1s,i,m1s,ipf[2] a3s,m2s","saH,evam,uktaH,abravIt,enam",5,1,"{'m1s': [0, 2]}","{'nominative': [0, 1]}"
334,mbh12_26055.xml,"n6p,i,m6s,n2s,ipf[8] a3s","SirasAm,ca,asya,Cedanam,akarot",5,1,{},"{'genitive': [0, 1]}"
335,mbh12_25984.xml,"m1p,m2p,cau pre a3p,m1p,f2s,cau pre a3p","yajYAH,devAn,tarpayanti,devAH,pfTivIm,BAvayanti",6,1,"{'m1p': [0, 3], 'cau pre a3p': [2, 5]}","{'accusative': [1, 3], 'nominative': [0, 2]}"
336,mbh03_14511.xml,"i,ipv[2] m2s,x6s,m2d","A,cakzva,me,vAmyO",4,1,{},{}
337,mbh12_25985.xml,"f1d,i,n1s,pre[1] a3s","SatapaTe,hi,brAhmaRam,Bavati",4,1,{},"{'nominative': [0, 1]}"
338,mbh12_26174.xml,"n1s,n1s,iic,n1s","tat,etat,brahma,agnIzomIyam",4,0,"{'n1s': [0, 1, 3]}","{'nominative': [0, 1, 2]}"
339,mbh03_14430.xml,"f1s,i,prf a3s","sA,prati,uvAca",3,1,{},{}
340,mbh03_14529.xml,"i,m1s,i,prf a3s","aTa,fziH,cintayAm,Asa",4,1,"{'i': [0, 2]}",{}
341,mbh03_14616.xml,"i,i,i,pre[9] a3s,x2s,m1s,i","aTa,prati,aBi,jAnAti,mAm,BavAn,iti",7,1,"{'i': [0, 1, 2, 6]}",{}
342,mbh03_14571.xml,"i,i,fut m1s,x1s,m6s,m2d,i,m1p,iic,m1p,pre[1] a3p","na,ut,srakzye,aham,vAmadevasya,vAmyO,na,evaMviDAH,Darma,SIlAH,Bavanti",11,2,"{'i': [0, 1, 6], 'm1p': [7, 9]}","{'nominative': [2, 3]}"
343,mbh03_14517.xml,"m1s,i,iic,m2s,m2s,m2s,ipf[2] a3s","sa,gatvA,vAmadeva,ASramam,tam,fzim,abravIt",7,1,"{'m2s': [3, 4, 5]}","{'accusative': [1, 2, 3]}"
344,mbh03_14423.xml,"m1s,i,ipf[10] a3s","sa,SrutvA,acintayat",3,1,{},{}
345,mbh12_26112.xml,"i,m1s,m2s,ipf[2] a3s,iic,iic,iic,mvs,mvs,ipv[1] m2s,f2s","tataH,sa,nahuzam,abravIt,a,kArya,pra,vftta,pApa,patasva,mahIm",11,2,"{'mvs': [7, 8], 'iic': [4, 5, 6]}","{'accusative': [1, 4], 'vocative': [2, 3]}"
346,mbh12_26134.xml,"i,m3p,i,n1s,iic,n1s,i,n3s,i,f1s,f2s,i,aor[root] a3s","tatra,devEH,pUrvam,etat,pra,aSyam,na,anyena,iti,AditiH,BikzAm,na,adAt",13,1,"{'i': [0, 2, 6, 8, 11], 'n1s': [3, 5]}","{'instrumental': [0, 3], 'nominative': [1, 2, 4]}"
347,mbh12_26076.xml,"n1s,n1s,i,pre p3s,x3s","Endram,padam,aDi,Asyate,mayA",5,1,"{'n1s': [0, 1]}","{'nominative': [0, 1]}"
348,mbh12_26114.xml,"m1s,iic,iic,iic,m2s,i,n5s,n5s,i,ipf[1] a3s","sa,mahA,fzi,vAkya,samakAlam,eva,tasmAt,yAnAt,ava,apatat",10,1,"{'i': [5, 8], 'n5s': [6, 7], 'iic': [1, 2, 3]}","{'ablative': [2, 3]}"
349,mbh12_26144.xml,"m1s,m3s,iic,m1s,m2s,aor[a] a3s","sa,yakzmaRA,A,vizwaH,dakzam,agamat",6,1,"{'m1s': [0, 3]}","{'nominative': [0, 2]}"
350,mbh12_13965.xml,"iic,n3s,m1s,i","apatya,utpAdanena,prajApatiH,iti",4,0,{},{}
351,mbh03_14599.xml,"m4p,f1s,n2p,i,mvs,iic,m2s,pop[1] a1s","brAhmaReByaH,mfgayantI,sUnftAni,taTA,brahman,puRya,lokam,laBeyam",8,1,{},"{'accusative': [2, 4]}"
352,mbh03_14516.xml,"iic,m2s,ipv[2] a2s,i","vAmadeva,ASramam,yAhi,iti",4,1,{},{}
355,mbh12_13925.xml,"i,n1s,iic,n1s,m3s,iic,n1s,i","iti,etat,loka,nirmARam,brahmaRA,vi,hitam,purA",8,0,"{'i': [0, 7], 'n1s': [1, 3, 6], 'iic': [2, 5]}","{'nominative': [0, 1, 3]}"
356,mbh12_13959.xml,"iic,iic,f2s,iic,m1s,i,i,i,m1p,m1p,iic,iic,m1p,iic,m1p,iic,iic,iic,iic,m2s,f2s,i,pre[1] a3p","vAna,prasTa,AnAm,dravya,upaskAraH,iti,prAyaSaH,Kalu,ete,sADavaH,sADu,paTya,darSanAH,svADyAya,prasaNginaH,tIrTa,aBigamana,deSa,darSana,arTam,pfTivIm,pari,awanti",23,1,"{'i': [5, 6, 7, 21], 'f2s': [2, 20], 'iic': [0, 1, 3, 10, 11, 13, 15, 16, 17, 18], 'm1p': [8, 9, 12, 14]}","{'accusative': [0, 6, 7], 'nominative': [1, 2, 3, 4, 5]}"
357,mbh12_13954.xml,"m6s,iic,n2s,n2s,i,i,i,fut a1p","tasya,samudAcAra,lakzaRam,sarvam,anu,vi,A,KyAsyAmaH",8,1,"{'n2s': [2, 3], 'i': [4, 5, 6]}","{'accusative': [1, 2]}"
358,mbh03_14598.xml,"i,n1s,mvs,x1s,m2s,n7s,n7s,iic,f1s,i,ipf[1] a1s","yaTA,yuktam,vAmadeva,aham,enam,dine,dine,sam,viSantI,vi,aSaMsam",11,1,"{'i': [0, 9], 'n7s': [5, 6]}","{'nominative': [0, 5], 'locative': [3, 4]}"
359,mbh12_13900.xml,"n1s,n1s,m3s,iic,n1s,n6p,f1p,f1p,i,n2s,i,pre[9] a1p","yat,etat,BavatA,aBi,hitam,suKAnAm,paramAH,striyaH,iti,tat,na,gfhRImaH",12,1,"{'i': [8, 10], 'n1s': [0, 1, 4], 'f1p': [6, 7]}","{'nominative': [0, 1, 3, 5, 6]}"
360,mbh03_14504.xml,"m2s,i,iic,i,m3s,i,ipf[1] a3s","mfgam,ca,A,sAdya,raTena,anu,aDAvat",7,1,"{'i': [1, 3, 5]}",{}
361,mbh03_14477.xml,"i,i,x6s,iic,m2s,m3p,n1s,m3p,i,x4s","alam,kftvA,tava,a,Darmam,maRqUkEH,kim,hatEH,hi,te",10,0,"{'i': [0, 1, 8], 'm3p': [5, 7]}","{'instrumental': [1, 3]}"
362,mbh12_26143.xml,"iic,m5s,m2s,m2s,m1s,i,prf a3s","dakza,SApAt,somam,rAjAnam,yakzmA,A,viveSa",7,1,"{'m2s': [2, 3]}","{'accusative': [1, 2]}"
363,mbh12_26069.xml,"n1s,x2s,iic,iic,n1s,iic,n1s,i,f2s,i","sarvam,mAm,Sakra,upa,Buktam,upa,sTitam,fte,SacIm,iti",10,0,"{'i': [7, 9], 'n1s': [0, 4, 6], 'iic': [2, 3, 5]}","{'nominative': [0, 1, 2]}"
364,mbh12_26107.xml,"i,f2s,iic,iic,f2s,i,prf a3s,m1s,m1s,m1s,m1s,i","aTa,indrARIm,aBi,A,gatAm,dfzwvA,uvAca,nahuzaH,pUrRaH,sa,kAlaH,iti",12,1,"{'i': [0, 5, 11], 'f2s': [1, 4], 'm1s': [7, 8, 9, 10], 'iic': [2, 3]}","{'accusative': [0, 1], 'nominative': [2, 3, 4, 5]}"
365,mbh03_14442.xml,"n3s,n2s,i,m2s,iic,i,ipf[1] a3s","padena,anupadam,dfzwvA,rAjAnam,pari,vArya,atizWat",7,1,"{'i': [2, 5]}","{'accusative': [1, 2]}"
366,mbh12_26029.xml,"m2s,i,m2s,i,f1p,prf a3p,pre[1] m1p,x1p,i,i","saktam,ca,enam,jYAtvA,apsarasaH,UcuH,gacCAmahe,vayam,yaTAgatam,iti",10,2,"{'i': [1, 3, 8, 9], 'm2s': [0, 2]}","{'accusative': [0, 1]}"
367,mbh03_14499.xml,"iic,m1s,pre[2] a1s,i","anu,gfhItaH,asmi,iti",4,1,{},{}
368,mbh12_26117.xml,"prf a3p,i,m2s,mvs,m2s,iic,iic,iic,m2s,i,pre[1] a2s,i","UcuH,ca,enam,Bagavan,indram,brahma,vaDyA,aBi,BUtam,trAtum,arhasi,iti",12,2,"{'i': [1, 9, 11], 'iic': [5, 6, 7], 'm2s': [2, 4, 8]}","{'accusative': [0, 2, 3]}"
369,mbh12_26140.xml,"i,f1p,f1p,f1p,f1p,m6s,n2s,i,m2s,m2s,prf a3p","tataH,tAH,SezAH,patnyaH,IrzyAvatyaH,pituH,samIpam,gatvA,imam,arTam,SaSaMsuH",11,1,"{'i': [0, 7], 'f1p': [1, 2, 3, 4], 'm2s': [8, 9]}","{'accusative': [5, 6, 7], 'nominative': [0, 1, 2, 3]}"
370,mbh12_13957.xml,"n2s,i,iic,m6p,n2s,i,i,pre[1] a3p","tat,hi,sarva,ASramARAm,mUlam,ud,A,haranti",8,1,"{'n2s': [0, 4], 'i': [1, 5, 6]}","{'accusative': [0, 2]}"
371,mbh03_14574.xml,"n7s,i,i,i,m1s,m1s,i,prf a3s,n2s,n2s,m1s","rAjye,tadA,tatra,gatvA,sa,vipraH,pra,uvAca,idam,vacanam,vAmadevaH",11,1,"{'i': [1, 2, 3, 6], 'n2s': [8, 9], 'm1s': [4, 5, 10]}","{'accusative': [3, 4], 'nominative': [1, 2, 5]}"
372,mbh03_14472.xml,"i,pre[1] a2s,m6p,m6p,m2s,i,i","na,arhasi,maRqUkAnAm,anaparADinAm,vaDam,kartum,iti",7,1,"{'i': [0, 5, 6], 'm6p': [2, 3]}","{'genitive': [0, 1]}"
373,mbh12_26007.xml,"m3p,m6s,m3p,m1s,m1s,f2s,iic,m1s","tEH,asya,BujagEH,pIqyamAnaH,kaRWaH,nilatAm,upa,nItaH",8,0,"{'m1s': [3, 4, 7], 'm3p': [0, 2]}","{'instrumental': [0, 2], 'nominative': [3, 4, 6]}"
374,mbh03_14536.xml,"i,iic,n2s,i,cau ipv a2s,iic,m2d,i","yadi,pari,Aptam,nir,yAtayA,upADyAya,vAmyO,iti",8,1,"{'i': [0, 3, 7], 'iic': [1, 5]}","{'accusative': [0, 1]}"
375,mbh12_25983.xml,"n5s,m1p,i,iic,m1p,m2p,i,pre[1] a3p","tasmAt,brAhmaRAH,hi,agni,BUtAH,yajYAn,ud,vahanti",8,1,"{'i': [2, 6], 'm1p': [1, 4]}","{'nominative': [1, 2]}"
376,mbh03_14540.xml,"iic,m1p,m1p,n6p,n6p","an,arhAH,brAhmaRAH,ratnAnAm,evaMviDAnAm",5,0,"{'m1p': [1, 2], 'n6p': [3, 4]}","{'genitive': [2, 3], 'nominative': [0, 1]}"
377,mbh03_14473.xml,"m1d,i,i,pre[1] a3d","SlokO,ca,atra,BavataH",4,1,"{'i': [1, 2]}",{}
378,mbh12_13960.xml,"m6p,iic,iic,iic,iic,iic,iic,iic,iic,iic,iic,iic,iic,iic,f1p,i,i","tezAm,pratyutTAna,aBivAdana,an,asUyA,vAk,pradAna,sOmuKya,Sakti,Asana,Sayana,aBi,ava,hAra,satkriyAH,ca,iti",17,0,"{'i': [15, 16], 'iic': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}",{}
379,mbh12_26035.xml,"m1s,m2p,prf a3s","tataH,mantrAn,jajApa",3,1,{},{}
380,mbh03_14629.xml,"pre[2] a3s,m1s,i,m5s,iic,iic,m1s,i","asti,kaH,cit,BavataH,cira,jAta,taraH,iti",8,1,"{'i': [2, 7], 'm1s': [1, 6], 'iic': [4, 5]}","{'nominative': [0, 2]}"
381,mbh12_25947.xml,"iic,m1s,prf a3s","SrI,BagavAn,uvAca",3,1,{},{}
382,mbh12_26046.xml,"m6s,n3p,m2s,ipv p3s,i","tasya,asTiBiH,vajram,kriyatAm,iti",5,1,{},{}
383,mbh03_14479.xml,"i,i,pre p3s,n2s,x3s","na,hi,kzamyate,tat,mayA",5,1,"{'i': [0, 1]}",{}
384,mbh03_14667.xml,"iic,i,m2s,m2s,m2s,i,i,i,pop[1] a3s","vi,hAya,vfttam,pApizWam,Darmam,eva,aBi,sam,Srayet",9,1,"{'i': [1, 5, 6, 7], 'm2s': [2, 3, 4]}","{'accusative': [0, 1, 2]}"
385,mbh03_14424.xml,"i,i,iic,f2s,pre[4] a1s","na,iha,manuzya,gatim,paSyAmi",5,1,"{'i': [0, 1]}",{}
386,mbh12_26133.xml,"f2s,i,aor[a] a3s,f2s,ipv[3] a2s,i","aditim,ca,avocat,BikzAm,dehi,iti",6,2,"{'f2s': [0, 3], 'i': [1, 5]}","{'accusative': [0, 1]}"
387,mbh03_14584.xml,"i,m1s,m3s,mvs,iic,n7s,iic,m2s,prf a3s","evam,uktaH,vAmadevena,rAjan,antaH,pure,rAja,putram,jaGAna",9,1,"{'iic': [4, 6]}",{}
388,mbh12_25966.xml,"n5s,i,iic,iic,m2s,n1s,n1s,i","kasmAt,iti,loka,pratyakza,guRam,etat,tat,yaTA",8,0,"{'i': [1, 7], 'n1s': [5, 6], 'iic': [2, 3]}","{'nominative': [2, 3]}"
389,mbh03_14419.xml,"n2s,i,prf a3s","tat,ca,viveSa",3,1,{},{}
